timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353255.6681309,0.0,1.1277,0.0,213.0
1748353255.683091,0.0,1.1277,0.0,213.0
1748353255.6911826,0.0,1.1277,0.0,213.0
1748353255.7010803,0.0,1.1277,0.0,213.0
1748353255.7110536,0.0,1.1277,0.0,213.0
1748353255.7210276,0.0,1.1277,0.0,213.0
1748353255.731051,0.0,1.1277,0.0,213.0
1748353255.7411702,0.0,1.1277,0.0,213.0
1748353255.7512188,0.0,1.1277,0.0,213.0
1748353255.7611394,0.0,1.1277,0.0,213.0
1748353255.77125,0.0,1.1277,0.0,213.0
1748353255.7812605,0.0,1.1277,0.0,213.0
1748353255.791285,0.0,1.1277,0.0,213.0
1748353255.800712,0.0,1.1277,0.0,213.0
1748353255.810978,0.0,1.1277,0.0,213.0
1748353255.820899,0.0,1.1277,0.0,213.0
1748353255.8315766,0.0,1.1277,0.0,213.0
1748353255.841599,0.0,1.1277,0.0,213.0
1748353255.8513122,0.0,1.1277,0.0,213.0
1748353255.8607028,0.0,1.1277,0.0,213.0
1748353255.8710766,0.0,1.1277,0.0,213.0
1748353255.880838,0.0,1.1277,0.0,213.0
1748353255.890816,0.0,1.1277,0.0,213.0
1748353255.9008245,0.0,1.1277,0.0,213.0
1748353255.910798,0.0,1.1277,0.0,213.0
1748353255.9207356,0.0,1.1277,0.0,213.0
1748353255.9313004,0.0,1.1277,0.0,213.0
1748353255.9404736,0.0,1.1277,0.0,213.0
1748353255.9511263,0.0,1.1277,0.0,213.0
1748353255.9615605,0.0,1.1277,0.0,213.0
1748353255.9707875,0.0,1.1277,0.0,213.0
1748353255.9814475,0.0,1.1277,0.0,213.0
1748353255.9904425,0.0,1.1277,0.0,213.0
1748353256.000449,0.0,1.1277,0.0,213.0
1748353256.010433,0.0,1.1277,0.0,213.0
1748353256.0205598,0.0,1.1277,0.0,213.0
1748353256.0311995,0.0,1.1277,0.0,213.0
1748353256.0405383,0.0,1.1277,0.0,213.0
1748353256.050595,0.0,1.1277,0.0,213.0
1748353256.060604,0.0,1.1277,0.0,213.0
1748353256.070541,0.0,1.1277,0.0,213.0
1748353256.080554,0.0,1.1277,0.0,213.0
1748353256.0904489,0.0,1.1277,0.0,213.0
1748353256.1008458,0.0,1.1277,0.0,213.0
1748353256.1115324,0.0,1.1277,0.0,213.0
1748353256.1205509,0.0,1.1277,0.0,213.0
1748353256.130843,0.0,1.1277,0.0,213.0
1748353256.1405103,0.0,1.1277,0.0,213.0
1748353256.1511397,0.0,1.1277,0.0,213.0
1748353256.1605597,0.0,1.1277,0.0,213.0
1748353256.170968,0.0,1.1277,0.0,213.0
1748353256.1804092,0.0,1.1277,0.0,213.0
1748353256.1912377,0.0,1.1277,0.0,213.0
1748353256.200675,0.0,1.1277,0.0,213.0
1748353256.211317,0.0,1.1277,0.0,213.0
1748353256.2205582,0.0,1.1277,0.0,213.0
1748353256.2305908,0.0,1.1277,0.0,213.0
1748353256.2405233,0.0,1.1277,0.0,213.0
1748353256.2505393,0.0,1.1277,0.0,213.0
1748353256.2605004,0.0,1.1277,0.0,213.0
1748353256.2710474,0.0,1.1277,0.0,213.0
1748353256.2811081,0.0,1.1277,0.0,213.0
1748353256.2910364,0.0,1.1277,0.0,213.0
1748353256.3006601,0.0,1.1277,0.0,213.0
1748353256.3112893,0.0,1.1277,0.0,213.0
1748353256.3205407,0.0,1.1277,0.0,213.0
1748353256.3313422,0.0,1.1277,0.0,213.0
1748353256.341366,0.0,1.1277,0.0,213.0
1748353256.3508003,0.0,1.1277,0.0,213.0
1748353256.3614612,0.0,1.1277,0.0,213.0
1748353256.370636,0.0,1.1277,0.0,213.0
1748353256.380623,0.0,1.1277,0.0,213.0
1748353256.3906038,0.0,1.1277,0.0,213.0
1748353256.4012387,0.0,1.1277,0.0,213.0
1748353256.4110541,0.0,1.1277,0.0,213.0
1748353256.4205282,0.0,1.1277,0.0,213.0
1748353256.430468,0.0,1.1277,0.0,213.0
1748353256.6010468,0.0,1.1277,0.0,213.0
1748353256.6112983,0.0,1.1277,0.0,213.0
1748353256.6214054,0.0,1.1277,0.0,213.0
1748353256.6304727,0.0,1.1277,0.0,213.0
1748353256.640648,0.0,1.1277,0.0,213.0
1748353256.6513739,0.0,1.1277,0.0,213.0
1748353256.6622078,0.0,1.1277,0.0,213.0
1748353256.6723313,0.0,1.1277,0.0,213.0
1748353256.6815627,0.0,1.1277,0.0,213.0
1748353256.6904085,0.0,1.1277,0.0,213.0
1748353256.7004066,0.0,1.1277,0.0,213.0
1748353256.711222,0.0,1.1277,0.0,213.0
1748353256.721713,0.0,1.1277,0.0,213.0
1748353256.7315905,0.0,1.1277,0.0,213.0
1748353256.74063,0.0,1.1277,0.0,213.0
1748353256.7505581,0.0,1.1277,0.0,213.0
1748353256.760574,0.0,1.1277,0.0,213.0
1748353256.7705011,0.0,1.1277,0.0,213.0
1748353256.7804677,0.0,1.1277,0.0,213.0
1748353256.7904396,0.0,1.1277,0.0,213.0
1748353256.800458,0.0,1.1277,0.0,213.0
1748353256.810433,0.0,1.1277,0.0,213.0
1748353256.8213637,0.0,1.1277,0.0,213.0
1748353256.8309512,0.0,1.1277,0.0,213.0
1748353256.84097,0.0,1.1277,0.0,213.0
1748353256.8509002,0.0,1.1277,0.0,213.0
1748353256.8610947,0.0,1.1277,0.0,213.0
1748353256.8710678,0.0,1.1277,0.0,213.0
1748353256.8810878,0.0,1.1277,0.0,213.0
1748353256.8910446,0.0,1.1277,0.0,213.0
