Time,Pressure,Position,Velocity
0.002007007598876953,2.1273,3.2564465785597427,0.0
0.0029985904693603516,2.1273,3.2564465785597427,0.0
0.005000114440917969,2.1273,3.2564465785597427,0.0
0.005000114440917969,2.1273,3.2564465785597427,0.0
0.006000995635986328,2.1273,3.2564465785597427,0.0
0.12206077575683594,2.1273,3.2564465785597427,0.0
1.6523289680480957,2.1154,3.2564465785597427,0.0
1.6804273128509521,2.1273,3.2564465785597427,0.0
1.7090251445770264,2.1273,3.2564465785597427,0.0
1.7382807731628418,2.1273,3.2564465785597427,0.0
1.7661042213439941,2.1273,3.2564465785597427,0.0
1.795426607131958,2.1154,3.2564465785597427,0.0
1.8200147151947021,2.1273,3.2564465785597427,0.0
1.8488686084747314,2.1273,3.2564465785597427,0.0
1.8774359226226807,2.1273,3.2564465785597427,0.0
1.9061689376831055,2.1273,3.2564465785597427,0.0
1.934903860092163,2.1273,3.2564465785597427,0.0
1.9634475708007812,2.1273,3.2564465785597427,0.0
1.9917137622833252,2.1273,3.2564465785597427,0.0
2.0202250480651855,2.1273,3.2564465785597427,0.0
2.045170783996582,2.1273,3.2564465785597427,0.0
2.073969602584839,2.1154,3.2564465785597427,0.0
2.1029200553894043,2.1273,3.2564465785597427,0.0
2.131314754486084,2.1273,3.2564465785597427,0.0
2.159686803817749,2.1273,3.2564465785597427,0.15733706870898848
2.1883137226104736,2.1273,3.2609506540487603,-0.15428780608028425
2.2175064086914062,2.1154,3.2564465785597427,0.0
2.2417795658111572,2.1273,3.2564465785597427,0.0
2.270761251449585,2.1273,3.2564465785597427,0.0
2.299384593963623,2.1273,3.2564465785597427,0.0
2.3276138305664062,2.1273,3.2564465785597427,0.0
2.3558897972106934,2.1154,3.2564465785597427,0.0
2.3851990699768066,2.1273,3.2564465785597427,0.0
2.413771152496338,2.1273,3.2564465785597427,0.0
2.442093849182129,2.1273,3.2564465785597427,0.0
2.467087984085083,2.1154,3.2564465785597427,0.0
2.496094226837158,2.1273,3.2564465785597427,0.0
2.5247204303741455,2.1154,3.2564465785597427,0.0
2.5531787872314453,2.1273,3.2564465785597427,0.0
2.582059383392334,2.1273,3.2564465785597427,0.0
2.610588550567627,2.1273,3.2564465785597427,0.0
2.639277696609497,2.1154,3.2564465785597427,0.0
2.663923978805542,2.1273,3.2564465785597427,0.0
2.6928796768188477,2.1273,3.2564465785597427,0.0
2.7209017276763916,2.1273,3.2564465785597427,0.0
2.749943256378174,2.1154,3.2564465785597427,0.0
2.7785255908966064,2.1273,3.2564465785597427,0.0
2.807271718978882,2.1273,3.2564465785597427,0.0
2.835745096206665,2.1154,3.2564465785597427,0.0
2.8644938468933105,2.1273,3.2564465785597427,0.0
2.8886258602142334,2.1154,3.2564465785597427,0.0
2.917874336242676,2.1154,3.2564465785597427,0.0
2.9464926719665527,2.1273,3.2564465785597427,0.0
2.9752349853515625,2.1154,3.2564465785597427,0.0
3.003566265106201,2.1273,3.2564465785597427,0.0
3.0325241088867188,2.1273,3.2564465785597427,0.0
3.0603315830230713,2.1154,3.2564465785597427,0.0
3.085707187652588,2.1273,3.2564465785597427,-0.15846281855683425
3.114130735397339,2.1154,3.2519425030707247,0.0
3.1433494091033936,2.1273,3.2519425030707247,0.0
3.17179799079895,2.1273,3.2519425030707247,0.0
3.200230360031128,2.1273,3.2519425030707247,0.0
3.229147434234619,2.1273,3.2519425030707247,-0.311609171716328
3.2580559253692627,2.1273,3.2429343520926897,0.0
3.286137104034424,2.1273,3.2429343520926897,-0.18080030089474491
3.311048984527588,2.1273,3.2384302766036717,-0.31522546036855187
3.339625835418701,2.1392,3.229422125625637,-0.3144855560900975
3.368269920349121,2.1392,3.220413974647602,-0.4680390912441807
3.39713978767395,2.1511,3.206901748180549,-0.4688560823281871
3.425959348678589,2.1511,3.1933895217134958,-0.3167582468123448
3.4543979167938232,2.1630000000000003,3.1843813707354607,-0.4825405323087833
3.4824001789093018,2.1630000000000003,3.1708691442684076,-0.5406262033145227
3.5073938369750977,2.1630000000000003,3.157356917801355,-0.48205621869612986
3.53542423248291,2.1749,3.143844691334302,-0.619179031477318
3.564521312713623,2.1868,3.1258283893782313,-0.4684646551853192
3.593364953994751,2.1987,3.1123161629111786,-0.6199409916939163
3.6224262714385986,2.2106,3.094299860955108,-0.46690161404851327
3.6513664722442627,2.2106,3.0807876344880554,-0.6416773295479625
3.679443359375,2.2225,3.0627713325319843,-0.623074459383332
3.7083585262298584,2.2344,3.0447550305759146,-0.7520710944749217
3.732314109802246,2.2463,3.0267387286198435,-0.30633395503268623
3.7617204189300537,2.2463,3.0177305776418084,-0.4733001972529896
3.790269374847412,2.2463,3.0042183511747558,-0.4706862128734519
3.818976879119873,2.2701000000000002,2.9907061247077027,-0.3164054473112349
3.847447156906128,2.282,2.9816979737296676,-0.3121291681862427
3.876307487487793,2.282,2.9726898227516325,-0.15780626865829198
3.9048492908477783,2.282,2.9681857472626145,-0.1811383490731712
3.9297146797180176,2.282,2.963681671773597,-0.15889197897211915
3.958061456680298,2.2939000000000003,2.959177596284579,0.0
3.986595392227173,2.2939000000000003,2.959177596284579,0.0
4.015459060668945,2.2939000000000003,2.959177596284579,0.0
4.04407811164856,2.2939000000000003,2.959177596284579,0.0
4.0727643966674805,2.282,2.959177596284579,0.0
4.101251125335693,2.2939000000000003,2.959177596284579,0.0
4.129990339279175,2.2939000000000003,2.959177596284579,0.0
4.154805898666382,2.282,2.959177596284579,0.0
4.183365821838379,2.2939000000000003,2.959177596284579,0.0
